user_name,res_id,count,user_id,rating
0001527-pb1400.pixelpark.com,308,1,0,3
01-019.001.popsite.net,570,1,1,3
01-019.001.popsite.net,664,1,1,3
01-030.001.popsite.net,175,1,2,3
01-039.001.popsite.net,294,1,3,3
01-039.001.popsite.net,387,1,3,3
01-039.001.popsite.net,508,1,3,3
01-039.001.popsite.net,668,1,3,3
02-065.001.popsite.net,267,1,4,3
02-067.001.popsite.net,359,1,5,3
02-067.001.popsite.net,380,1,5,3
02-084.001.popsite.net,353,1,6,3
02-084.001.popsite.net,99,1,6,3
02-090.001.popsite.net,226,1,7,3
02-090.001.popsite.net,244,1,7,3
02-111.001.popsite.net,643,1,8,3
03-134.001.popsite.net,335,1,9,3
03-134.001.popsite.net,665,1,9,3
04-172.001.popsite.net,261,1,10,3
04-172.001.popsite.net,603,1,10,3
04-208.001.popsite.net,484,1,11,3
04-208.001.popsite.net,534,1,11,3
05-007.001.popsite.net,499,1,12,3
06-074.001.popsite.net,106,1,13,3
07-is-a.indyweb.net,17,1,14,3
08-190.001.popsite.net,570,1,15,3
10.chicago-004.il.dial-access.att.net,17,1,16,3
10.chicago-15.il.dial-access.att.net,14,1,17,3
10.chicago-15.il.dial-access.att.net,344,1,17,3
10.chicago-15.il.dial-access.att.net,410,1,17,3
10.chicago-15.il.dial-access.att.net,546,1,17,3
10.chicago-15.il.dial-access.att.net,553,1,17,3
10.chicago-15.il.dial-access.att.net,595,1,17,3
10.st-louis-03.mo.dial-access.att.net,133,1,18,3
100.chicago-016.il.dial-access.att.net,552,1,19,3
101.dallas-09.tx.dial-access.att.net,107,1,20,3
101.detroit-09.mi.dial-access.att.net,407,1,21,3
101.detroit-09.mi.dial-access.att.net,441,1,21,3
101.detroit-09.mi.dial-access.att.net,540,1,21,3
101eppley-mac-54.cl.msu.edu,166,1,22,3
101eppley-mac-54.cl.msu.edu,77,1,22,3
102.chicago-01.il.dial-access.att.net,443,1,23,3
102.chicago-016.il.dial-access.att.net,111,1,24,3
102.chicago-11.il.dial-access.att.net,322,1,25,3
102.chicago-11.il.dial-access.att.net,391,1,25,3
102.indianapolis-01-02rs.in.dial-access.att.net,459,1,26,3
